CheckedEST,Link,Date,D_Alcona,D_Alger,D_Allegan,D_Alpena,D_Antrim,D_Arenac,D_Baraga,D_Barry,D_Bay,D_Benzie,D_Berrien,D_Branch,D_Calhoun,D_Cass,D_Charlevoix,D_Cheboygan,D_Chippewa,D_Clare,D_Clinton,D_Crawford,D_Delta,D_Dickinson,D_Eaton,D_Emmet,D_Genesee,D_Gladwin,D_Gogebic,D_GrandTraverse,D_Gratiot,D_Hillsdale,D_Houghton,D_Huron,D_Ingham,D_Ionia,D_Iosco,D_Iron,D_Isabella,D_Jackson,D_Kalamazoo,D_Kalkaska,D_Kent,D_Keweenaw,D_Lake,D_Lapeer,D_Leelanau,D_Lenawee,D_Livingston,D_Luce,D_Mackinac,D_Macomb,D_Manistee,D_Marquette,D_Mason,D_Mecosta,D_Menominee,D_Midland,D_Missaukee,D_Monroe,D_Montcalm,D_Montmorency,D_Muskegon,D_Newaygo,D_Oakland,D_Oceana,D_Ogemaw,D_Ontonagon,D_Osceola,D_Oscoda,D_Otsego,D_Ottawa,D_PresqueIsle,D_Roscommon,D_Sagniaw,D_Sanilac,D_Schoolcraft,D_Shiawassee,D_StClair,D_StJoseph,D_Tuscola,D_VanBuren,D_Washtenaw,D_Wayne,D_Wexford,D_MDOC,D_FCI,D_OutState,D_NR,D_TOTAL,D_Detroit,D_Probable,D_Notes,D_Male,D_Female,D_SexNR,D_0_9,D_10_19,D_0_19,D_20_29,D_30_39,D_40_49,D_50_59,D_60_69,D_70_79,D_80_plus,D_AgeNR,D_AgeMin,D_AgeMax,D_AgeAvg,D_AgeMed,D_Native,D_Asian,D_Black,D_White,D_Many,D_Other,D_RaceNR,D_Hispanic,D_NonHispanic,D_HispanicNR,D_Arab,D_NonArab,D_ArabNR
2020-08-03 16:32,"https://web.archive.org/web/20200803203219/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-03,1,,7,13,,3,,2,31,1,65,2,41,10,2,2,,3,13,5,3,2,8,2,269,2,1,5,15,25,,4,34,5,11,1,9,32,81,4,151,,,31,,12,27,,,899,,11,,2,,10,1,21,1,,58,,1084,6,2,,,1,10,49,1,,126,5,,27,52,7,28,10,112,2680,4,69,5,,,6216,1486,251,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3245,2971,,,,,29,60,207,508,1104,1660,2642,,,,,,18,78,2448,3239,100,120,213,2%,83%,15%,1%,45%,54%
2020-08-04 17:54,"https://web.archive.org/web/20200805033649/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-04,1,,7,13,,3,,2,31,1,65,2,40,11,2,2,,3,13,5,3,2,8,2,270,2,1,5,15,25,,4,30,5,11,1,9,32,81,4,151,,,31,,12,27,,,900,,11,,2,,10,1,21,1,,58,,1084,6,2,,,1,10,49,1,,126,5,,27,52,8,29,10,112,2683,4,69,5,,,6219,1488,252,"Note on deaths (8/4/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 5 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3249,2970,,,,,27,60,204,508,1107,1661,2647,,,,,,18,78,2450,3241,98,120,213,2%,83%,15%,1%,45%,54%
2020-08-05 17:52,"https://web.archive.org/web/20200805215246/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-05,1,,7,13,,3,,2,31,1,65,2,40,11,2,2,,3,13,5,3,2,8,2,270,2,1,5,15,25,,4,30,5,11,1,9,32,81,4,151,,,32,,12,27,,,900,,11,,2,,10,1,21,1,,58,,1085,6,2,,,1,10,50,1,,126,5,,27,52,8,29,10,112,2682,4,69,5,,,6221,1488,257,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3250,2971,,,,,27,60,205,508,1107,1662,2647,,,,,,18,78,2450,3242,100,120,213,2%,83%,15%,1%,45%,54%
2020-08-06 19:58,"https://web.archive.org/web/20200806235850/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-06,1,,7,13,,3,,2,31,1,65,2,40,13,2,2,,3,13,5,3,2,8,2,270,2,1,5,15,25,,4,30,6,11,1,9,33,82,4,154,,,32,,12,27,,,905,,11,,2,,10,1,22,1,,58,,1087,6,2,,,1,10,50,1,,127,5,,27,52,8,29,10,112,2691,4,69,5,,,6247,1490,259,"*Note on deaths (8/6/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 17 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3261,2986,,,,,27,60,208,512,1109,1669,2657,,,,,,18,78,2454,3261,98,125,213,2%,83%,15%,1%,45%,54%
2020-08-07 14:48,"https://web.archive.org/web/20200807184824/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-07,1,,7,13,,3,,2,31,1,65,2,40,13,2,2,,3,13,5,3,2,8,2,270,2,1,5,15,25,,4,30,6,11,1,9,33,81,4,154,,,32,,12,27,,,906,,11,,2,,10,1,22,1,,59,,1087,6,2,,,1,10,50,1,,127,5,,27,52,8,29,9,112,2691,4,69,5,,,6247,1490,277,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3262,2985,,,,,27,62,208,512,1108,1669,2657,,,,,,18,78,2452,3267,99,124,209,2%,83%,15%,1%,45%,54%
2020-08-08 15:13,"https://web.archive.org/web/20200809015733/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-08,1,,7,13,,3,,2,31,1,65,2,40,13,2,2,,3,13,5,3,2,8,2,270,2,1,5,15,25,,4,30,6,11,1,9,33,81,4,154,,,32,,12,27,,,908,,11,,2,,10,1,22,1,,59,,1086,6,2,,,1,10,51,1,,128,5,,27,52,8,29,8,112,2692,4,69,5,,,6250,1490,270,"*Note on deaths (8/08/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 2 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3264,2986,,,,,26,62,208,512,1111,1669,2658,,,,,,18,79,2452,3270,99,124,208,2%,83%,15%,1%,45%,54%
2020-08-09 18:14,"https://web.archive.org/web/20200809221457/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-09,1,,6,13,,3,,2,31,1,65,2,40,13,2,2,,3,13,5,3,2,8,2,271,2,1,5,15,25,,4,30,7,11,1,9,33,81,4,154,,,32,,12,27,,,908,,11,,2,,10,1,22,1,,59,,1086,6,2,,,1,10,51,1,,128,5,,27,52,8,29,8,112,2690,4,69,5,,,6249,1490,270,"*Note on Cumulative Deaths 8/9/20: Today's cumulative death total has been reduced by one. Two additional deaths were reported today and three cases previously marked as deceased were corrected by local health jurisdictions. These cases may have been recorded as deceased in error or jurisdictions may have received additional information indicating previously reported deaths were determined to not be COVID-19 associated. MDHHS and the local health jurisdictions continue to review cases as part of ongoing efforts to ensure data quality and accurate case and death reporting in Michigan. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3263,2986,,,,,26,62,209,512,1112,1669,2656,,,,,,18,79,2451,3271,99,124,207,2%,83%,15%,1%,45%,54%
2020-08-10 19:03,"https://web.archive.org/web/20200810230644/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-10,1,,6,13,,3,,2,31,1,65,2,41,13,2,2,,3,13,5,3,2,8,2,271,2,1,5,15,25,,4,31,7,11,1,9,33,81,4,154,,,32,,12,27,,,909,,11,,2,,10,1,24,1,,59,,1086,6,2,,,1,11,51,1,,127,5,,27,52,8,29,9,112,2692,4,69,5,,,6257,1490,269,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3267,2990,,,,,25,62,209,512,1117,1671,2659,,,,,,19,79,2452,3277,99,124,207,2%,83%,15%,1%,45%,54%
2020-08-11 16:37,"https://web.archive.org/web/20200811203742/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-11,1,,6,13,,3,,2,31,1,66,2,41,13,2,2,,3,13,5,3,2,8,2,272,2,1,5,15,25,,4,31,7,11,1,9,33,81,4,154,,,32,,12,27,,,910,,11,,2,,10,1,23,1,,59,,1088,6,3,,,1,11,51,1,1,125,5,,27,52,9,29,9,112,2694,4,69,5,,,6264,1490,269,"Note on deaths (8/11/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 2 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3274,2990,,,,,25,61,208,512,1116,1673,2667,,,,,,19,79,2452,3283,99,125,207,2%,83%,15%,1%,45%,54%
2020-08-13 11:05,"https://web.archive.org/web/20200813130534/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-12,1,,6,13,,3,,2,32,1,67,2,41,13,2,2,,3,13,5,3,2,8,2,271,2,1,5,15,25,,4,32,7,11,1,9,33,81,4,154,,,32,,12,27,,,911,,11,,2,,10,1,23,1,,59,,1090,6,3,,,1,11,52,1,2,125,5,,27,52,9,29,9,112,2696,4,69,5,,,6273,1491,266,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3278,2995,,,,,25,61,209,512,1117,1676,2671,,,,,,19,79,2454,3292,98,125,206,2%,83%,15%,1%,45%,54%
2020-08-13 21:57,"https://web.archive.org/web/20200814015701/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-13,1,,6,13,,3,,2,31,1,67,2,41,13,2,2,,3,13,5,3,2,8,2,274,2,1,5,15,25,,4,32,7,11,1,9,33,81,4,154,,,32,,12,27,,,911,,11,,2,,10,1,23,2,,61,,1093,6,3,,,1,11,54,1,2,125,5,,27,52,10,29,9,112,2701,4,69,5,,,6289,1493,266,"Note on deaths (8/13/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 9 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3284,3005,,,,,25,62,209,512,1118,1679,2682,,,,,,19,79,2457,3303,98,125,208,2%,83%,15%,1%,45%,54%
2020-08-14 22:23,"https://web.archive.org/web/20200815022349/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-14,1,,6,13,,3,,2,35,1,67,2,42,13,2,2,,3,13,5,3,2,8,2,274,2,1,5,15,25,,4,32,7,11,1,9,33,82,4,154,,,32,,12,27,,,912,1,11,,2,,10,1,23,2,,61,,1093,6,3,,,1,11,54,1,2,125,5,,27,52,10,29,9,113,2703,4,69,5,,,6300,1493,266,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3289,3011,,,,,24,62,210,513,1121,1680,2688,,,,,,19,79,2459,3310,98,125,210,2%,83%,15%,1%,45%,54%
2020-08-15 21:00,"https://web.archive.org/web/20200816010040/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-15,1,,6,13,,3,,2,35,1,68,2,42,14,2,2,,3,13,5,3,2,8,2,273,2,1,5,15,25,,4,33,7,11,1,9,34,82,4,154,,,32,,12,27,,,917,1,11,,2,,10,1,23,2,,63,,1097,6,3,,,1,11,54,1,2,125,5,,27,52,10,29,12,113,2704,4,69,5,,,6318,1494,268,"*Note on deaths (8/15/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 14 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3298,3020,,,,,24,61,210,514,1124,1686,2697,,,,,,19,79,2461,3329,96,125,209,2%,83%,15%,1%,45%,54%
2020-08-16 21:54,"https://web.archive.org/web/20200817015424/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-16,1,,6,13,,3,,2,35,1,68,2,42,14,2,2,,3,13,5,3,2,8,2,273,2,1,5,15,25,,4,33,7,11,1,9,34,83,4,155,,,32,,13,27,,,917,1,11,,2,,10,1,23,2,,63,,1098,6,3,,,1,11,54,1,2,125,5,,27,52,10,29,12,113,2706,4,69,5,,,6324,1496,268,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3301,3023,,,,,24,61,210,516,1127,1687,2697,,,,,,19,79,2463,3331,96,126,210,2%,83%,14%,1%,45%,54%
2020-08-17 20:32,"https://web.archive.org/web/20200818003234/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-17,1,,6,13,,3,,2,35,1,68,2,42,14,2,2,,3,13,5,3,2,8,2,273,2,1,5,15,25,,4,33,7,11,1,9,34,84,4,155,,,32,,13,27,,,917,1,11,,2,,10,1,21,3,,63,,1099,6,3,,,1,11,54,1,2,125,5,,27,52,10,29,12,113,2706,4,69,5,,,6325,1496,267,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3302,3023,,,,,24,61,209,517,1126,1687,2699,,,,,,19,79,2463,3331,96,127,210,2%,83%,14%,1%,45%,54%
2020-08-18 19:04,"https://web.archive.org/web/20200818230458/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-18,1,,6,14,,3,,2,35,1,69,2,42,14,2,2,,3,13,5,3,2,8,2,273,2,1,5,15,25,,4,33,7,11,1,9,35,84,4,155,,,32,,13,28,,,918,1,11,,2,,10,1,22,3,,63,,1101,6,3,,,1,11,54,1,2,125,5,,28,52,10,29,12,114,2711,4,69,5,,,6340,1498,268,"Note on deaths (8/18/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 7 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3309,3031,,,,,25,61,209,517,1129,1695,2702,,,,,,19,79,2466,3341,97,127,211,2%,83%,14%,1%,45%,53%
2020-08-19 21:16,"https://web.archive.org/web/20200820011616/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-19,1,,6,14,,3,,2,36,1,69,2,42,14,2,2,,3,13,5,3,2,8,2,274,2,1,5,15,25,,4,35,7,11,1,9,35,84,4,155,,,33,,13,28,,,918,1,11,,2,,10,1,22,3,,63,,1101,6,3,,,1,11,55,1,3,126,5,,28,52,10,29,12,114,2712,4,69,5,,,6349,1499,269,"This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3312,3037,,,,,24,61,209,519,1130,1700,2704,,,,,,19,79,2469,3347,97,128,210,2%,83%,14%,1%,45%,53%
2020-08-20 19:31,"https://web.archive.org/web/20200820233102/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-20,2,,6,14,,3,,2,36,1,69,3,42,15,2,2,,3,13,5,3,2,8,2,275,2,1,5,15,25,,4,36,7,11,1,9,35,84,4,156,,,34,,13,28,,,920,1,11,,2,,10,1,23,3,,63,,1103,6,3,,,1,11,56,1,3,126,5,,28,52,10,29,13,114,2717,4,69,5,,,6368,1502,266,"Note on deaths (8/20/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 11 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3322,3046,,,,,24,62,209,520,1132,1704,2714,,,,,,19,80,2472,3359,99,127,212,2%,83%,14%,1%,45%,53%
2020-08-21 19:29,"https://web.archive.org/web/20200821232914/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOTE: Due to technical difficulties the Coronavirus Dashboard and Datasets will not be updated today. 
*Note on new daily cases (08/21/20): Today’s number of new cases is less than expected due to a recent issue with the reporting of electronic lab results. A large number of received lab messages were improperly formatted and temporarily blocked some valid results from being processed and entered into the reporting system. This issue is currently being fixed. As the valid results enter the system over the next day or two, there will likely be higher than expected numbers of daily case counts. This lab result backlog should not affect the 7-day rolling average or the cases by date of onset in the dashboard data. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22 20:06,"https://web.archive.org/web/20200823000607/https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-08-22,2,,6,14,,3,,2,39,1,69,3,42,15,2,2,,3,13,5,3,2,8,2,277,2,1,5,15,25,,4,36,7,11,1,9,35,84,4,157,,,34,,13,28,,,920,1,11,,2,,10,1,24,3,,63,,1108,6,3,,,1,11,58,1,3,127,5,,28,52,11,29,13,114,2722,4,69,5,,,6389,1503,266,"*Note on deaths (8/22/20): Regular reviews of death certificate data maintained in Vital Records reporting systems are conducted by MDHHS staff three times per week. As a part of this process, records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case and that record in the MDSS does not indicate the individual died, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths are then included with mortality information posted to the Michigan Coronavirus website. As a result of the most recent assessment, today’s data includes 8 additional deaths identified by this methodology. 
This report is provisional and subject to change. City of Detroit and Wayne County are reported separately. MDHHS began tracking probable cases April 5, 2020. FCI indicates federal correctional institute. MDOC indicates Michigan Department of Corrections. Diagnostic tests, including nucleic acid amplification/real-time polymerase chain reaction (NAAT/RT-PCR) and rapid virus antigen detection point of care (POC) tests, look for current infection. Serology (antibody) tests are used to look for the possibility of previous infection.
Source: Michigan Disease Surveillance System (MDSS) and Vital Records",3331,3058,,,,,24,62,210,521,1136,1710,2724,,,,,,19,81,2476,3373,98,128,214,2%,83%,14%,1%,45%,53%
